,id,tomato1,tomato2,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,finsave,finsaveqty,sexf,books,impulse,finplan,fincompare,impulse_regret,saveatt_item,saveatt,B1,B2,B3,B4,B5,B6,B7,A1,A2,A3,A4,A5,A6,A7,C1,C2,C3,C4,C5,C6,C7,schoolID,treatment,budget_ind,fin02c_,cityd1,cityd2,cityd3,grade8,agemonths,ageyrs,homemum,homedad,cogn1,cogn2,cogn3,cogn4,relmath,migrantbackground,month_APR
614,913,0.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,500.95,0.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,22,0,15.0,40.0,0,0,1,1.0,167.0,13.916667,1.0,1.0,0.0,1.0,0.0,0.0,0.4210527,0.0,0.0
615,921,1.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,,0.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,22,0,85.0,100.0,0,0,1,1.0,186.0,15.5,1.0,1.0,1.0,1.0,1.0,0.0,0.4210527,0.0,0.0
616,923,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,,0.0,,0.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,1.0,2.0,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,22,0,22.5,40.0,0,0,1,1.0,182.0,15.166667,1.0,1.0,1.0,0.0,0.0,0.0,-0.5789473,0.0,0.0
617,384,0.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,120.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,22,0,55.0,130.0,0,0,1,1.0,189.0,15.75,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0
618,915,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,0.0,,0.0,1.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,22,0,50.0,75.0,0,0,1,1.0,181.0,15.083333,1.0,1.0,0.0,1.0,1.0,0.0,-0.5789473,0.0,0.0
619,385,,,3.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,100.0,0.0,2.0,5.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,4.0,1.0,22,0,90.0,50.0,0,0,1,1.0,178.0,14.833333,1.0,0.0,0.0,0.0,0.0,1.0,-0.75,1.0,1.0
620,907,0.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,120.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,22,0,30.0,50.0,0,0,1,1.0,195.0,16.25,,,0.0,0.0,1.0,0.0,,0.0,0.0
621,386,0.0,0.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,,1.0,3.0,0.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,,20.0,0,0,1,1.0,182.0,15.166667,1.0,1.0,0.0,0.0,0.0,0.0,-0.75,0.0,1.0
622,1040,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,20.0,0.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,20.0,40.0,1,0,0,0.0,156.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21428561,1.0,1.0
623,1044,0.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,30.0,20.0,1,0,0,0.0,155.0,12.916667,1.0,0.0,1.0,0.0,0.0,0.0,0.21428561,0.0,1.0
624,1036,0.0,,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,800.0,1.0,3.0,1.5,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,15,0,,10.0,1,0,0,0.0,186.0,15.5,0.0,0.0,0.0,0.0,1.0,0.0,-1.7857144,0.0,1.0
625,377,1.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,,0.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,22,0,75.0,20.0,0,0,1,1.0,169.0,14.083333,1.0,1.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0
